baskervilles01	1_2	0	Mr.	Mr.	NNP	(S(NP(NP Mr.	_	OS	_
baskervilles01	1_2	1	Sherlock	Sherlock	NNP	 Sherlock	_	OS	_
baskervilles01	1_2	2	Holmes	Holmes	NNP	 Holmes)	_	OS	_
baskervilles01	1_2	3	,	,	,	 ,	_	OS	_
baskervilles01	1_2	4	who	who	WP	(SBAR(WHNP who)	_	OS	_
baskervilles01	1_2	5	was	be	VBD	(S(VP was	_	OS	_
baskervilles01	1_2	6	usually	usually	RB	(ADVP usually)	_	OS	_
baskervilles01	1_2	7	very	very	RB	(ADJP very	_	OS	_
baskervilles01	1_2	8	late	late	JJ	 late	_	OS	_
baskervilles01	1_2	9	in	in	IN	(PP in	_	OS	_
baskervilles01	1_2	10	the	the	DT	(NP the	_	OS	_
baskervilles01	1_2	11	mornings	morning	NNS	 mornings)))	_	OS	_
baskervilles01	1_2	12	,	,	,	 ,	_	OS	_
baskervilles01	1_2	13	save	save	VB	(S(VP save	_	OS	_
baskervilles01	1_2	14	upon	upon	IN	(PP upon	_	OS	_
baskervilles01	1_2	15	those	those	DT	(NP those	_	IS	_
baskervilles01	1_2	16	not	not	RB	(ADJP not	not	OS	_
baskervilles01	1_2	17	infrequent	infrequent	JJ	 infrequent)	_	IS	infrequent
baskervilles01	1_2	18	occasions	occasion	NNS	 occasions))	_	IS	_
baskervilles01	1_2	19	when	when	WRB	(SBAR(WHADVP when)	_	IS	_
baskervilles01	1_2	20	he	he	PRP	(S(NP he)	_	IS	_
baskervilles01	1_2	21	was	be	VBD	(VP was	_	IS	_
baskervilles01	1_2	22	up	up	RB	(ADVP up)	_	IS	_
baskervilles01	1_2	23	all	all	DT	(NP all	_	IS	_
baskervilles01	1_2	24	night	night	NN	 night)))))))))	_	IS	_
baskervilles01	1_2	25	,	,	,	 ,)	_	OS	_
baskervilles01	1_2	26	was	be	VBD	(VP was	_	OS	_
baskervilles01	1_2	27	seated	seat	VBN	(VP seated	_	OS	_
baskervilles01	1_2	28	at	at	IN	(PP at	_	OS	_
baskervilles01	1_2	29	the	the	DT	(NP the	_	OS	_
baskervilles01	1_2	30	breakfast	breakfast	NN	 breakfast	_	OS	_
baskervilles01	1_2	31	table	table	NN	 table))))	_	OS	_
baskervilles01	1_2	32	.	.	.	 .)	_	OS	_

baskervilles01	1_3	0	Mr.	Mr.	NNP	(S(NP(NP Mr.	_	OS	_
baskervilles01	1_3	1	Sherlock	Sherlock	NNP	 Sherlock	_	OS	_
baskervilles01	1_3	2	Holmes	Holmes	NNP	 Holmes)	_	OS	_
baskervilles01	1_3	3	,	,	,	 ,	_	OS	_
baskervilles01	1_3	4	who	who	WP	(SBAR(WHNP who)	_	IS	_
baskervilles01	1_3	5	was	be	VBD	(S(VP was	_	IS	was
baskervilles01	1_3	6	usually	usually	RB	(ADVP usually)	_	OS	_
baskervilles01	1_3	7	very	very	RB	(ADJP very	_	IS	_
baskervilles01	1_3	8	late	late	JJ	 late	_	IS	late
baskervilles01	1_3	9	in	in	IN	(PP in	_	IS	_
baskervilles01	1_3	10	the	the	DT	(NP the	_	IS	_
baskervilles01	1_3	11	mornings	morning	NNS	 mornings)))	_	IS	_
baskervilles01	1_3	12	,	,	,	 ,	_	IS	_
baskervilles01	1_3	13	save	save	VB	(S(VP save	save	OS	_
baskervilles01	1_3	14	upon	upon	IN	(PP upon	_	IS	_
baskervilles01	1_3	15	those	those	DT	(NP those	_	IS	_
baskervilles01	1_3	16	not	not	RB	(ADJP not	_	IS	_
baskervilles01	1_3	17	infrequent	infrequent	JJ	 infrequent)	_	IS	_
baskervilles01	1_3	18	occasions	occasion	NNS	 occasions))	_	IS	_
baskervilles01	1_3	19	when	when	WRB	(SBAR(WHADVP when)	_	IS	_
baskervilles01	1_3	20	he	he	PRP	(S(NP he)	_	IS	_
baskervilles01	1_3	21	was	be	VBD	(VP was	_	IS	_
baskervilles01	1_3	22	up	up	RB	(ADVP up)	_	IS	_
baskervilles01	1_3	23	all	all	DT	(NP all	_	IS	_
baskervilles01	1_3	24	night	night	NN	 night)))))))))	_	IS	_
baskervilles01	1_3	25	,	,	,	 ,)	_	OS	_
baskervilles01	1_3	26	was	be	VBD	(VP was	_	OS	_
baskervilles01	1_3	27	seated	seat	VBN	(VP seated	_	OS	_
baskervilles01	1_3	28	at	at	IN	(PP at	_	OS	_
baskervilles01	1_3	29	the	the	DT	(NP the	_	OS	_
baskervilles01	1_3	30	breakfast	breakfast	NN	 breakfast	_	OS	_
baskervilles01	1_3	31	table	table	NN	 table))))	_	OS	_
baskervilles01	1_3	32	.	.	.	 .)	_	OS	_

baskervilles01	2	0	I	I	PRP	(S(NP I)	***	OS	_
baskervilles01	2	1	stood	stand	VBD	(VP(VP stood	***	OS	_
baskervilles01	2	2	upon	upon	IN	(PP upon	***	OS	_
baskervilles01	2	3	the	the	DT	(NP the	***	OS	_
baskervilles01	2	4	hearth-rug	hearth-rug	NN	 hearth-rug)))	***	OS	_
baskervilles01	2	5	and	and	CC	 and	***	OS	_
baskervilles01	2	6	picked	pick	VBD	(VP picked	***	OS	_
baskervilles01	2	7	up	up	RP	(PRT up)	***	OS	_
baskervilles01	2	8	the	the	DT	(NP(NP the	***	OS	_
baskervilles01	2	9	stick	stick	NN	 stick)	***	OS	_
baskervilles01	2	10	which	which	WDT	(SBAR(WHNP which)	***	OS	_
baskervilles01	2	11	our	our	PRP$	(S(NP our	***	OS	_
baskervilles01	2	12	visitor	visitor	NN	 visitor)	***	OS	_
baskervilles01	2	13	had	have	VBD	(VP had	***	OS	_
baskervilles01	2	14	left	leave	VBN	(VP left	***	OS	_
baskervilles01	2	15	behind	behind	IN	(PP behind	***	OS	_
baskervilles01	2	16	him	him	PRP	(NP him)	***	OS	_
baskervilles01	2	17	the	the	DT	(ADVP(NP the	***	OS	_
baskervilles01	2	18	night	night	NN	 night)	***	OS	_
baskervilles01	2	19	before	before	IN	 before)))))))))	***	OS	_
baskervilles01	2	20	.	.	.	 .)	***	OS	_

baskervilles01	3	0	It	It	PRP	(S(NP It)	***	OS	_
baskervilles01	3	1	was	be	VBD	(VP was	***	OS	_
baskervilles01	3	2	a	a	DT	(NP(NP a	***	OS	_
baskervilles01	3	3	fine	fine	JJ	 fine	***	OS	_
baskervilles01	3	4	,	,	,	 ,	***	OS	_
baskervilles01	3	5	thick	thick	JJ	 thick	***	OS	_
baskervilles01	3	6	piece	piece	NN	 piece)	***	OS	_
baskervilles01	3	7	of	of	IN	(PP of	***	OS	_
baskervilles01	3	8	wood	wood	NN	(NP wood))	***	OS	_
baskervilles01	3	9	,	,	,	 ,	***	OS	_
baskervilles01	3	10	bulbous-headed	bulbous-headed	JJ	(ADJP bulbous-headed)	***	OS	_
baskervilles01	3	11	,	,	,	 ,	***	OS	_
baskervilles01	3	12	of	of	IN	(PP of	***	OS	_
baskervilles01	3	13	the	the	DT	(NP the	***	OS	_
baskervilles01	3	14	sort	sort	NN	 sort)))	***	OS	_
baskervilles01	3	15	which	which	WDT	(SBAR(WHNP which)	***	OS	_
baskervilles01	3	16	is	be	VBZ	(S(VP is	***	OS	_
baskervilles01	3	17	known	know	VBN	(VP known	***	OS	_
baskervilles01	3	18	as	as	IN	(PP as	***	OS	_
baskervilles01	3	19	a	a	DT	(NP a	***	OS	_
baskervilles01	3	20	``	``	``	 ``	***	OS	_
baskervilles01	3	21	Penang	Penang	NNP	 Penang	***	OS	_
baskervilles01	3	22	lawyer	lawyer	NN	 lawyer)))))))	***	OS	_
baskervilles01	3	23	.	.	.	 .	***	OS	_
baskervilles01	3	24	''	''	''	 '')	***	OS	_

baskervilles01	4	0	Just	Just	RB	(SQ(PP(ADVP Just)	***	OS	_
baskervilles01	4	1	under	under	IN	 under	***	OS	_
baskervilles01	4	2	the	the	DT	(NP the	***	OS	_
baskervilles01	4	3	head	head	NN	 head))	***	OS	_
baskervilles01	4	4	was	be	VBD	 was	***	OS	_
baskervilles01	4	5	a	a	DT	(NP a	***	OS	_
baskervilles01	4	6	broad	broad	JJ	 broad	***	OS	_
baskervilles01	4	7	silver	silver	NN	 silver	***	OS	_
baskervilles01	4	8	band	band	NN	 band)	***	OS	_
baskervilles01	4	9	nearly	nearly	RB	(ADVP nearly)	***	OS	_
baskervilles01	4	10	an	an	DT	(NP an	***	OS	_
baskervilles01	4	11	inch	inch	NN	 inch)	***	OS	_
baskervilles01	4	12	across	across	RB	(ADVP across)	***	OS	_
baskervilles01	4	13	.	.	.	 .)	***	OS	_

baskervilles01	5	0	``	``	``	(S ``	***	OS	_
baskervilles01	5	1	To	To	TO	(PP To	***	OS	_
baskervilles01	5	2	James	James	NNP	(NP James	***	OS	_
baskervilles01	5	3	Mortimer	Mortimer	NNP	 Mortimer))	***	OS	_
baskervilles01	5	4	,	,	,	 ,	***	OS	_
baskervilles01	5	5	M.R.C.S.	M.R.C.S.	NNP	(NP(NP M.R.C.S.)	***	OS	_
baskervilles01	5	6	,	,	,	 ,	***	OS	_
baskervilles01	5	7	from	from	IN	(PP from	***	OS	_
baskervilles01	5	8	his	his	PRP$	(NP(NP his	***	OS	_
baskervilles01	5	9	friends	friend	NNS	 friends)	***	OS	_
baskervilles01	5	10	of	of	IN	(PP of	***	OS	_
baskervilles01	5	11	the	the	DT	(NP the	***	OS	_
baskervilles01	5	12	C.C.H.	C.C.H.	NNP	 C.C.H.))))	***	OS	_
baskervilles01	5	13	,	,	,	 ,	***	OS	_
baskervilles01	5	14	''	''	''	 '')	***	OS	_
baskervilles01	5	15	was	be	VBD	(VP was	***	OS	_
baskervilles01	5	16	engraved	engrave	VBN	(VP engraved	***	OS	_
baskervilles01	5	17	upon	upon	IN	(PP upon	***	OS	_
baskervilles01	5	18	it	it	PRP	(NP it))	***	OS	_
baskervilles01	5	19	,	,	,	 ,	***	OS	_
baskervilles01	5	20	with	with	IN	(PP with	***	OS	_
baskervilles01	5	21	the	the	DT	(NP(NP the	***	OS	_
baskervilles01	5	22	date	date	NN	 date)	***	OS	_
baskervilles01	5	23	``	``	``	 ``	***	OS	_
baskervilles01	5	24	1884	1884	CD	(NX 1884)))))	***	OS	_
baskervilles01	5	25	.	.	.	 .	***	OS	_
baskervilles01	5	26	''	''	''	 '')	***	OS	_

baskervilles01	6	0	It	It	PRP	(S(NP It)	***	OS	_
baskervilles01	6	1	was	be	VBD	(VP was	***	OS	_
baskervilles01	6	2	just	just	RB	(ADVP just	***	OS	_
baskervilles01	6	3	such	such	PDT	(NP such	***	OS	_
baskervilles01	6	4	a	a	DT	 a	***	OS	_
baskervilles01	6	5	stick	stick	NN	 stick)	***	OS	_
baskervilles01	6	6	as	as	IN	(PP as	***	OS	_
baskervilles01	6	7	the	the	DT	(NP the	***	OS	_
baskervilles01	6	8	old-fashioned	old-fashioned	JJ	 old-fashioned	***	OS	_
baskervilles01	6	9	family	family	NN	 family	***	OS	_
baskervilles01	6	10	practitioner	practitioner	NN	 practitioner)))	***	OS	_
baskervilles01	6	11	used	use	VBN	(VP used	***	OS	_
baskervilles01	6	12	to	to	TO	(S(VP to	***	OS	_
baskervilles01	6	13	carry	carry	VB	(VP carry	***	OS	_
baskervilles01	6	14	--	--	:	 --	***	OS	_
baskervilles01	6	15	dignified	dignified	JJ	(FRAG(UCP(ADJP dignified)	***	OS	_
baskervilles01	6	16	,	,	,	 ,	***	OS	_
baskervilles01	6	17	solid	solid	JJ	(ADJP solid)	***	OS	_
baskervilles01	6	18	,	,	,	 ,	***	OS	_
baskervilles01	6	19	and	and	CC	 and	***	OS	_
baskervilles01	6	20	reassuring	reassure	VBG	(ADJP reassuring))))))))	***	OS	_
baskervilles01	6	21	.	.	.	 .)	***	OS	_

baskervilles01	7	0	``	``	``	(FRAG ``	***	OS	_
baskervilles01	7	1	Well	Well	UH	(INTJ Well)	***	OS	_
baskervilles01	7	2	,	,	,	 ,	***	OS	_
baskervilles01	7	3	Watson	Watson	NNP	(NP Watson)	***	OS	_
baskervilles01	7	4	,	,	,	 ,	***	OS	_
baskervilles01	7	5	what	what	WP	(SBAR(WHNP what)	***	OS	_
baskervilles01	7	6	do	do	VBP	(S(VP do	***	OS	_
baskervilles01	7	7	you	you	PRP	(S(NP you)	***	OS	_
baskervilles01	7	8	make	make	VB	(VP make	***	OS	_
baskervilles01	7	9	of	of	IN	(PP of	***	OS	_
baskervilles01	7	10	it	it	PRP	(NP it)))))))	***	OS	_
baskervilles01	7	11	?	?	.	 ?	***	OS	_
baskervilles01	7	12	''	''	''	 '')	***	OS	_

baskervilles01	8_1	0	Holmes	Holmes	NNP	(S(S(NP Holmes)	_	OS	_
baskervilles01	8_1	1	was	be	VBD	(VP was	_	OS	_
baskervilles01	8_1	2	sitting	sit	VBG	(VP sitting	_	OS	_
baskervilles01	8_1	3	with	with	IN	(PP with	_	OS	_
baskervilles01	8_1	4	his	his	PRP$	(NP his	_	OS	_
baskervilles01	8_1	5	back	back	NN	 back))	_	OS	_
baskervilles01	8_1	6	to	to	TO	(PP to	_	OS	_
baskervilles01	8_1	7	me	me	PRP	(NP me)))))	_	OS	_
baskervilles01	8_1	8	,	,	,	 ,	_	OS	_
baskervilles01	8_1	9	and	and	CC	 and	_	OS	_
baskervilles01	8_1	10	I	I	PRP	(S(NP I)	_	IS	_
baskervilles01	8_1	11	had	have	VBD	(VP had	_	IS	_
baskervilles01	8_1	12	given	give	VBN	(VP given	_	IS	given
baskervilles01	8_1	13	him	him	PRP	(NP him)	_	IS	_
baskervilles01	8_1	14	no	no	DT	(NP(NP no	no	OS	_
baskervilles01	8_1	15	sign	sign	NN	 sign)	_	IS	_
baskervilles01	8_1	16	of	of	IN	(PP of	_	IS	_
baskervilles01	8_1	17	my	my	PRP$	(NP my	_	IS	_
baskervilles01	8_1	18	occupation	occupation	NN	 occupation))))))	_	IS	_
baskervilles01	8_1	19	.	.	.	 .)	_	OS	_

baskervilles01	9	0	``	``	``	(SBARQ ``	***	OS	_
baskervilles01	9	1	How	How	WRB	(WHADVP How)	***	OS	_
baskervilles01	9	2	did	do	VBD	(SQ did	***	OS	_
baskervilles01	9	3	you	you	PRP	(NP you)	***	OS	_
baskervilles01	9	4	know	know	VB	(VP know	***	OS	_
baskervilles01	9	5	what	what	WP	(SBAR(WHNP what)	***	OS	_
baskervilles01	9	6	I	I	PRP	(S(NP I)	***	OS	_
baskervilles01	9	7	was	be	VBD	(VP was	***	OS	_
baskervilles01	9	8	doing	do	VBG	(VP doing))))))	***	OS	_
baskervilles01	9	9	?	?	.	 ?)	***	OS	_

baskervilles01	10	0	I	I	PRP	(S(NP I)	***	OS	_
baskervilles01	10	1	believe	believe	VBP	(VP believe	***	OS	_
baskervilles01	10	2	you	you	PRP	(SBAR(S(NP you)	***	OS	_
baskervilles01	10	3	have	have	VB	(VP have	***	OS	_
baskervilles01	10	4	eyes	eye	NNS	(VP eyes	***	OS	_
baskervilles01	10	5	in	in	IN	(PP in	***	OS	_
baskervilles01	10	6	the	the	DT	(NP(NP the	***	OS	_
baskervilles01	10	7	back	back	NN	 back)	***	OS	_
baskervilles01	10	8	of	of	IN	(PP of	***	OS	_
baskervilles01	10	9	your	your	PRP$	(NP your	***	OS	_
baskervilles01	10	10	head	head	NN	 head)))))))))	***	OS	_
baskervilles01	10	11	.	.	.	 .	***	OS	_
baskervilles01	10	12	''	''	''	 '')	***	OS	_

baskervilles01	11	0	``	``	``	(S ``	***	OS	_
baskervilles01	11	1	I	I	PRP	(S(NP I)	***	OS	_
baskervilles01	11	2	have	have	VBP	(VP have	***	OS	_
baskervilles01	11	3	,	,	,	(PRN ,	***	OS	_
baskervilles01	11	4	at	at	IN	(ADVP at	***	OS	_
baskervilles01	11	5	least	least	JJS	 least)	***	OS	_
baskervilles01	11	6	,	,	,	 ,)	***	OS	_
baskervilles01	11	7	a	a	DT	(NP(NP a	***	OS	_
baskervilles01	11	8	well-polished	well-polished	JJ	 well-polished	***	OS	_
baskervilles01	11	9	,	,	,	 ,	***	OS	_
baskervilles01	11	10	silver-plated	silver-plated	JJ	 silver-plated	***	OS	_
baskervilles01	11	11	coffee-pot	coffee-pot	NN	 coffee-pot)	***	OS	_
baskervilles01	11	12	in	in	IN	(PP in	***	OS	_
baskervilles01	11	13	front	front	NN	(NP(NP front)	***	OS	_
baskervilles01	11	14	of	of	IN	(PP of	***	OS	_
baskervilles01	11	15	me	me	PRP	(NP me)))))))	***	OS	_
baskervilles01	11	16	,	,	,	 ,	***	OS	_
baskervilles01	11	17	''	''	''	 ''	***	OS	_
baskervilles01	11	18	said	say	VBD	(VP said	***	OS	_
baskervilles01	11	19	he	he	PRP	(NP he))	***	OS	_
baskervilles01	11	20	.	.	.	 .)	***	OS	_

baskervilles01	12	0	``	``	``	(SBARQ ``	***	OS	_
baskervilles01	12	1	But	But	CC	 But	***	OS	_
baskervilles01	12	2	,	,	,	 ,	***	OS	_
baskervilles01	12	3	tell	tell	VB	(S(VP tell	***	OS	_
baskervilles01	12	4	me	me	PRP	(NP me)	***	OS	_
baskervilles01	12	5	,	,	,	 ,	***	OS	_
baskervilles01	12	6	Watson	Watson	NNP	(NP Watson)))	***	OS	_
baskervilles01	12	7	,	,	,	 ,	***	OS	_
baskervilles01	12	8	what	what	WP	(WHNP what)	***	OS	_
baskervilles01	12	9	do	do	VBP	(SQ do	***	OS	_
baskervilles01	12	10	you	you	PRP	(NP you)	***	OS	_
baskervilles01	12	11	make	make	VB	(VP make	***	OS	_
baskervilles01	12	12	of	of	IN	(PP of	***	OS	_
baskervilles01	12	13	our	our	PRP$	(NP(NP our	***	OS	_
baskervilles01	12	14	visitor	visitor	NN	 visitor	***	OS	_
baskervilles01	12	15	's	's	POS	 's)	***	OS	_
baskervilles01	12	16	stick	stick	NN	 stick))))	***	OS	_
baskervilles01	12	17	?	?	.	 ?)	***	OS	_

baskervilles01	13_1	0	Since	Since	IN	(S(SBAR Since	_	OS	_
baskervilles01	13_1	1	we	we	PRP	(S(NP we)	_	IS	_
baskervilles01	13_1	2	have	have	VBP	(VP(VP have	_	IS	_
baskervilles01	13_1	3	been	be	VBN	(VP been	_	IS	_
baskervilles01	13_1	4	so	so	RB	(ADJP so	_	IS	_
baskervilles01	13_1	5	unfortunate	unfortunate	JJ	 unfortunate	un	IS	fortunate
baskervilles01	13_1	6	as	as	RB	 as	_	IS	_
baskervilles01	13_1	7	to	to	TO	(S(VP to	_	IS	_
baskervilles01	13_1	8	miss	miss	VB	(VP miss	_	IS	_
baskervilles01	13_1	9	him	him	PRP	(NP him)))))))	_	IS	_
baskervilles01	13_1	10	and	and	CC	 and	_	OS	_
baskervilles01	13_1	11	have	have	VBP	(VP have	_	OS	_
baskervilles01	13_1	12	no	no	DT	(NP(NP no	_	OS	_
baskervilles01	13_1	13	notion	notion	NN	 notion)	_	OS	_
baskervilles01	13_1	14	of	of	IN	(PP of	_	OS	_
baskervilles01	13_1	15	his	his	PRP$	(NP his	_	OS	_
baskervilles01	13_1	16	errand	errand	NN	 errand)))))))	_	OS	_
baskervilles01	13_1	17	,	,	,	 ,	_	OS	_
baskervilles01	13_1	18	this	this	DT	(NP this	_	OS	_
baskervilles01	13_1	19	accidental	accidental	JJ	 accidental	_	OS	_
baskervilles01	13_1	20	souvenir	souvenir	NN	 souvenir)	_	OS	_
baskervilles01	13_1	21	becomes	become	VBZ	(VP becomes	_	OS	_
baskervilles01	13_1	22	of	of	IN	(PP of	_	OS	_
baskervilles01	13_1	23	importance	importance	NN	(NP importance)))	_	OS	_
baskervilles01	13_1	24	.	.	.	 .)	_	OS	_

baskervilles01	13_2	0	Since	Since	IN	(S(SBAR Since	_	OS	_
baskervilles01	13_2	1	we	we	PRP	(S(NP we)	_	IS	_
baskervilles01	13_2	2	have	have	VBP	(VP(VP have	_	OS	_
baskervilles01	13_2	3	been	be	VBN	(VP been	_	OS	_
baskervilles01	13_2	4	so	so	RB	(ADJP so	_	OS	_
baskervilles01	13_2	5	unfortunate	unfortunate	JJ	 unfortunate	_	OS	_
baskervilles01	13_2	6	as	as	RB	 as	_	OS	_
baskervilles01	13_2	7	to	to	TO	(S(VP to	_	OS	_
baskervilles01	13_2	8	miss	miss	VB	(VP miss	_	OS	_
baskervilles01	13_2	9	him	him	PRP	(NP him)))))))	_	OS	_
baskervilles01	13_2	10	and	and	CC	 and	_	OS	_
baskervilles01	13_2	11	have	have	VBP	(VP have	_	IS	have
baskervilles01	13_2	12	no	no	DT	(NP(NP no	no	OS	_
baskervilles01	13_2	13	notion	notion	NN	 notion)	_	IS	_
baskervilles01	13_2	14	of	of	IN	(PP of	_	IS	_
baskervilles01	13_2	15	his	his	PRP$	(NP his	_	IS	_
baskervilles01	13_2	16	errand	errand	NN	 errand)))))))	_	IS	_
baskervilles01	13_2	17	,	,	,	 ,	_	OS	_
baskervilles01	13_2	18	this	this	DT	(NP this	_	OS	_
baskervilles01	13_2	19	accidental	accidental	JJ	 accidental	_	OS	_
baskervilles01	13_2	20	souvenir	souvenir	NN	 souvenir)	_	OS	_
baskervilles01	13_2	21	becomes	become	VBZ	(VP becomes	_	OS	_
baskervilles01	13_2	22	of	of	IN	(PP of	_	OS	_
baskervilles01	13_2	23	importance	importance	NN	(NP importance)))	_	OS	_
baskervilles01	13_2	24	.	.	.	 .)	_	OS	_

baskervilles01	14	0	Let	Let	VB	(S(VP Let	***	OS	_
baskervilles01	14	1	me	me	PRP	(NP me)	***	OS	_
baskervilles01	14	2	hear	hear	VB	(VP hear	***	OS	_
baskervilles01	14	3	you	you	PRP	(S(NP you)	***	OS	_
baskervilles01	14	4	reconstruct	reconstruct	VB	(VP reconstruct	***	OS	_
baskervilles01	14	5	the	the	DT	(NP the	***	OS	_
baskervilles01	14	6	man	man	NN	 man)	***	OS	_
baskervilles01	14	7	by	by	IN	(PP by	***	OS	_
baskervilles01	14	8	an	an	DT	(NP(NP an	***	OS	_
baskervilles01	14	9	examination	examination	NN	 examination)	***	OS	_
baskervilles01	14	10	of	of	IN	(PP of	***	OS	_
baskervilles01	14	11	it	it	PRP	(NP it))))))))	***	OS	_
baskervilles01	14	12	.	.	.	 .	***	OS	_
baskervilles01	14	13	''	''	''	 '')	***	OS	_

baskervilles01	15	0	``	``	``	(SINV ``	***	OS	_
baskervilles01	15	1	I	I	PRP	(S(NP I)	***	OS	_
baskervilles01	15	2	think	think	VBP	(VP think))	***	OS	_
baskervilles01	15	3	,	,	,	 ,	***	OS	_
baskervilles01	15	4	''	''	''	 ''	***	OS	_
baskervilles01	15	5	said	say	VBD	(VP said)	***	OS	_
baskervilles01	15	6	I	I	PRP	(NP I)	***	OS	_
baskervilles01	15	7	,	,	,	 ,	***	OS	_
baskervilles01	15	8	following	follow	VBG	(S(VP following	***	OS	_
baskervilles01	15	9	as	as	RB	(ADVP as	***	OS	_
baskervilles01	15	10	far	far	RB	 far	***	OS	_
baskervilles01	15	11	as	as	IN	(SBAR as	***	OS	_
baskervilles01	15	12	I	I	PRP	(S(NP I)	***	OS	_
baskervilles01	15	13	could	could	MD	(VP could))))	***	OS	_
baskervilles01	15	14	the	the	DT	(NP(NP the	***	OS	_
baskervilles01	15	15	methods	method	NNS	 methods)	***	OS	_
baskervilles01	15	16	of	of	IN	(PP of	***	OS	_
baskervilles01	15	17	my	my	PRP$	(NP(NP my	***	OS	_
baskervilles01	15	18	companion	companion	NN	 companion)	***	OS	_
baskervilles01	15	19	,	,	,	 ,	***	OS	_
baskervilles01	15	20	``	``	``	 ``	***	OS	_
baskervilles01	15	21	that	that	IN	(SBAR that	***	OS	_
baskervilles01	15	22	Dr.	Dr.	NNP	(S(NP Dr.	***	OS	_
baskervilles01	15	23	Mortimer	Mortimer	NNP	 Mortimer)	***	OS	_
baskervilles01	15	24	is	be	VBZ	(VP is	***	OS	_
baskervilles01	15	25	a	a	DT	(NP(NP a	***	OS	_
baskervilles01	15	26	successful	successful	JJ	 successful	***	OS	_
baskervilles01	15	27	,	,	,	 ,	***	OS	_
baskervilles01	15	28	elderly	elderly	JJ	 elderly	***	OS	_
baskervilles01	15	29	medical	medical	JJ	 medical	***	OS	_
baskervilles01	15	30	man	man	NN	 man)	***	OS	_
baskervilles01	15	31	,	,	,	 ,	***	OS	_
baskervilles01	15	32	well-esteemed	well-esteemed	JJ	(ADJP well-esteemed	***	OS	_
baskervilles01	15	33	since	since	IN	(PP since	***	OS	_
baskervilles01	15	34	those	those	DT	(NP(NP those)	***	OS	_
baskervilles01	15	35	who	who	WP	(SBAR(WHNP who)	***	OS	_
baskervilles01	15	36	know	know	VB	(S(VP know	***	OS	_
baskervilles01	15	37	him	him	PRP	(NP him)	***	OS	_
baskervilles01	15	38	give	give	VB	(VP give	***	OS	_
baskervilles01	15	39	him	him	PRP	(NP him)	***	OS	_
baskervilles01	15	40	this	this	DT	(NP(NP this	***	OS	_
baskervilles01	15	41	mark	mark	NN	 mark)	***	OS	_
baskervilles01	15	42	of	of	IN	(PP of	***	OS	_
baskervilles01	15	43	their	their	PRP$	(NP their	***	OS	_
